"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Hits"
"com.example.sns_project.model.BaseEntity.equals ()","59,527 ms (8.9%)","59,527 ms (8.9%)","59,527 ms (0%)","59,527 ms (0.1%)","91"
"ch.qos.logback.classic.spi.TurboFilterList.getTurboFilterChainDecision ()","56,929 ms (8.6%)","56,929 ms (8.6%)","56,929 ms (0%)","56,929 ms (0.1%)","83"
"org.hibernate.type.descriptor.java.AbstractClassJavaType.extractHashCode ()","41,929 ms (6.3%)","41,929 ms (6.3%)","41,929 ms (0%)","41,929 ms (0%)","55"
"org.mariadb.jdbc.client.socket.impl.PacketReader.readPacket ()","24,078 ms (3.6%)","24,078 ms (3.6%)","89,078 ms (0%)","52,789 ms (0.1%)","114"
"org.hibernate.engine.spi.CascadingActions$8.noCascade ()","17,118 ms (2.6%)","17,118 ms (2.6%)","23,655 ms (0%)","23,655 ms (0%)","32"
"org.hibernate.engine.internal.StatefulPersistenceContext.postLoad ()","12,053 ms (1.8%)","12,053 ms (1.8%)","18,912 ms (0%)","18,912 ms (0%)","26"
"org.hibernate.engine.internal.EntityEntryContext.processEachManagedEntity ()","11,722 ms (1.8%)","11,722 ms (1.8%)","11,722 ms (0%)","11,722 ms (0%)","16"
"org.mariadb.jdbc.MariaDbClob.length ()","10,992 ms (1.7%)","10,992 ms (1.7%)","10,992 ms (0%)","10,992 ms (0%)","12"
"org.mariadb.jdbc.client.result.rowdecoder.TextRowDecoder.setPosition ()","10,847 ms (1.6%)","10,847 ms (1.6%)","10,847 ms (0%)","10,847 ms (0%)","14"
"org.hibernate.engine.internal.EntityEntryContext.clearAllReferencesFromManagedEntities ()","10,782 ms (1.6%)","10,782 ms (1.6%)","10,782 ms (0%)","10,782 ms (0%)","15"
"org.hibernate.persister.entity.DirtyHelper.isDirty ()","10,720 ms (1.6%)","10,720 ms (1.6%)","10,720 ms (0%)","10,720 ms (0%)","13"
"org.hibernate.event.internal.AbstractVisitor.processValue ()","10,276 ms (1.5%)","10,276 ms (1.5%)","47,113 ms (0%)","47,113 ms (0.1%)","114"
"org.hibernate.sql.results.graph.entity.AbstractEntityInitializer.deepCopy ()","10,142 ms (1.5%)","10,142 ms (1.5%)","10,345 ms (0%)","10,345 ms (0%)","13"
"org.hibernate.sql.results.spi.ListResultsConsumer$Results.addUnique ()","9,496 ms (1.4%)","9,496 ms (1.4%)","9,496 ms (0%)","9,496 ms (0%)","11"
"org.hibernate.sql.results.graph.collection.internal.CollectionAssembler.assemble ()","9,373 ms (1.4%)","9,373 ms (1.4%)","9,373 ms (0%)","9,373 ms (0%)","13"
"org.hibernate.event.internal.AbstractFlushingEventListener$$Lambda$2805.0x0000000801b5afd8.accept ()","9,094 ms (1.4%)","9,094 ms (1.4%)","9,094 ms (0%)","9,094 ms (0%)","11"
"org.hibernate.engine.spi.CascadeStyles$MultipleCascadeStyle.hasOrphanDelete ()","8,812 ms (1.3%)","8,812 ms (1.3%)","8,812 ms (0%)","8,812 ms (0%)","11"
"org.hibernate.sql.results.graph.FetchParentAccess.shouldSkipInitializer ()","7,810 ms (1.2%)","7,810 ms (1.2%)","40,009 ms (0%)","40,009 ms (0%)","102"
"org.hibernate.engine.internal.EntityEntryContext.reentrantSafeEntityEntries ()","7,569 ms (1.1%)","7,569 ms (1.1%)","7,569 ms (0%)","7,569 ms (0%)","10"
"org.hibernate.event.internal.WrapVisitor.processCollection ()","7,195 ms (1.1%)","7,195 ms (1.1%)","8,178 ms (0%)","8,178 ms (0%)","10"
"org.mariadb.jdbc.client.column.TimestampColumn.decodeTimestampText ()","6,652 ms (1%)","6,652 ms (1%)","46,300 ms (0%)","46,300 ms (0.1%)","54"
"org.hibernate.internal.util.collections.IdentityMap.entryArray ()","6,611 ms (1%)","6,611 ms (1%)","6,611 ms (0%)","6,611 ms (0%)","11"
"org.hibernate.engine.internal.StatefulPersistenceContext.claimEntityHolderIfPossible ()","6,280 ms (0.9%)","6,280 ms (0.9%)","38,252 ms (0%)","38,252 ms (0%)","52"
"org.hibernate.engine.spi.CollectionEntry.preFlush ()","6,153 ms (0.9%)","6,153 ms (0.9%)","6,153 ms (0%)","6,153 ms (0%)","8"
"org.hibernate.event.internal.AbstractFlushingEventListener.createOrReuseEventInstance ()","6,030 ms (0.9%)","6,030 ms (0.9%)","6,030 ms (0%)","6,030 ms (0%)","9"
"org.hibernate.sql.results.jdbc.internal.JdbcValuesResultSetImpl.getCurrentRowValue ()","5,409 ms (0.8%)","5,409 ms (0.8%)","148,912 ms (0%)","148,912 ms (0.2%)","185"
"org.mariadb.jdbc.client.impl.StandardReadableByteBuf.atoll ()","4,982 ms (0.7%)","4,982 ms (0.7%)","4,982 ms (0%)","4,982 ms (0%)","6"
"org.hibernate.type.descriptor.jdbc.BasicExtractor.extract ()","4,841 ms (0.7%)","4,841 ms (0.7%)","134,218 ms (0%)","134,218 ms (0.2%)","165"
"org.mariadb.jdbc.client.result.Result.wasNull ()","4,524 ms (0.7%)","4,524 ms (0.7%)","4,524 ms (0%)","4,524 ms (0%)","6"
"org.hibernate.engine.spi.BatchFetchQueue.collectBatchLoadableCollectionKeys ()","4,419 ms (0.7%)","4,419 ms (0.7%)","4,419 ms (0%)","4,419 ms (0%)","6"
"org.hibernate.sql.results.internal.InitializersList.finishUpRow ()","4,419 ms (0.7%)","4,419 ms (0.7%)","4,419 ms (0%)","4,419 ms (0%)","5"
"org.hibernate.sql.exec.internal.JdbcSelectExecutorStandardImpl$1.getEffectiveOptionalId ()","4,214 ms (0.6%)","4,214 ms (0.6%)","4,214 ms (0%)","4,214 ms (0%)","6"
"org.hibernate.sql.results.graph.collection.internal.DelayedCollectionInitializer.resolveInstance ()","4,087 ms (0.6%)","4,087 ms (0.6%)","102,527 ms (0%)","102,527 ms (0.1%)","131"
"org.hibernate.sql.results.internal.RowProcessingStateStandardImpl.getQueryOptions ()","3,985 ms (0.6%)","3,985 ms (0.6%)","3,985 ms (0%)","3,985 ms (0%)","4"
"org.hibernate.sql.results.spi.ListResultsConsumer.consume ()","3,886 ms (0.6%)","3,886 ms (0.6%)","8,262,264 ms (0.5%)","709,007 ms (0.8%)","8,538"
"org.hibernate.sql.results.graph.entity.AbstractEntityInitializer.<init> ()","3,576 ms (0.5%)","3,576 ms (0.5%)","8,779 ms (0%)","8,779 ms (0%)","12"
"jakarta.servlet.http.HttpServletRequestWrapper.getMethod ()","3,568 ms (0.5%)","3,568 ms (0.5%)","3,568 ms (0%)","3,568 ms (0%)","13"
