Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
로그인,4000,5451,12,15453,2442.88,0.100%,8.79989,4.40,3.30,511.8
인기 게시글 목록 조회,4000,1567,5,8399,1201.41,0.100%,8.80332,50.24,2.69,5843.6
인기 게시글 조회,4000,2204,21,8995,1321.59,0.100%,8.81533,17.35,2.67,2015.8
인기 게시글 댓글 페이징 조회,4000,1315,12,7700,1035.72,0.100%,8.75247,26.49,2.72,3099.7
Debug Sampler,4000,0,0,6,0.29,0.000%,8.75689,5.07,0.00,593.3
인기게시글 대댓글 전부 조회,4000,1017,5,6371,844.03,0.100%,8.75680,3.17,2.76,370.5
포스트 좋아요,2000,1357,3,7193,936.65,0.200%,4.38180,1.41,1.43,330.6
루트 댓글 작성,600,1262,14,6845,878.84,0.000%,1.31484,0.56,0.53,437.7
대댓글,360,1437,9,6315,1018.93,0.000%,.79613,0.34,0.33,433.6
포스트 좋아요 취소,1000,13201,5,30013,7456.34,0.600%,2.19381,0.65,0.72,301.3
***게시자 로그인***,4,4395,495,7604,2595.36,0.000%,.01049,0.01,0.00,512.0
인기 게시글 수정,3,841,95,2139,920.84,100.000%,.01171,0.01,0.01,446.0
TOTAL,27967,2268,0,30013,3259.15,0.118%,61.04079,108.97,17.05,1828.0
