"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Hits"
"com.example.sns_project.model.BaseEntity.equals ()","189,498 ms (7.7%)","189,498 ms (7.7%)","189,498 ms (0%)","189,498 ms (0%)","82"
"ch.qos.logback.classic.spi.TurboFilterList.getTurboFilterChainDecision ()","136,979 ms (5.6%)","136,979 ms (5.6%)","137,082 ms (0%)","137,082 ms (0%)","50"
"org.hibernate.loader.ast.spi.Loadable.isAffectedByInfluencers ()","59,326 ms (2.4%)","59,326 ms (2.4%)","61,205 ms (0%)","61,205 ms (0%)","42"
"org.apache.coyote.http11.Http11Processor.isConnectionToken ()","58,592 ms (2.4%)","58,592 ms (2.4%)","58,592 ms (0%)","58,592 ms (0%)","11"
"org.hibernate.internal.util.collections.IdentityMap.entryArray ()","42,859 ms (1.7%)","42,859 ms (1.7%)","46,657 ms (0%)","46,657 ms (0%)","12"
"org.hibernate.event.internal.AbstractVisitor.processValue ()","40,746 ms (1.7%)","40,746 ms (1.7%)","127,717 ms (0%)","127,507 ms (0%)","93"
"org.hibernate.sql.results.graph.FetchParentAccess.shouldSkipInitializer ()","40,388 ms (1.6%)","40,388 ms (1.6%)","66,165 ms (0%)","66,165 ms (0%)","41"
"org.mariadb.jdbc.client.impl.StandardReadableByteBuf.readString ()","37,936 ms (1.5%)","37,936 ms (1.5%)","76,385 ms (0%)","76,385 ms (0%)","20"
"org.hibernate.type.SetType.instantiate ()","36,888 ms (1.5%)","36,888 ms (1.5%)","36,888 ms (0%)","36,888 ms (0%)","7"
"org.hibernate.engine.internal.EntityEntryContext.getEntityEntry ()","33,588 ms (1.4%)","33,588 ms (1.4%)","68,538 ms (0%)","68,538 ms (0%)","34"
"org.mariadb.jdbc.client.impl.StandardReadableByteBuf.readByte ()","27,148 ms (1.1%)","27,148 ms (1.1%)","27,148 ms (0%)","27,148 ms (0%)","8"
"org.hibernate.engine.internal.EntityEntryContext.getAssociatedManagedEntity ()","26,326 ms (1.1%)","26,326 ms (1.1%)","42,352 ms (0%)","42,352 ms (0%)","22"
"org.hibernate.sql.results.jdbc.internal.JdbcValuesResultSetImpl.getCurrentRowValue ()","26,101 ms (1.1%)","26,101 ms (1.1%)","431,313 ms (0.1%)","431,313 ms (0.1%)","152"
"org.mariadb.jdbc.message.ClientMessage.readPacket ()","25,711 ms (1%)","25,711 ms (1%)","1,827,380 ms (0.3%)","339,009 ms (0.1%)","837"
"org.hibernate.engine.internal.AbstractEntityEntry.getStatus ()","24,521 ms (1%)","24,521 ms (1%)","24,521 ms (0%)","24,521 ms (0%)","8"
"org.hibernate.engine.spi.SharedSessionContractImplementor.checkOpen ()","24,061 ms (1%)","24,061 ms (1%)","24,061 ms (0%)","24,061 ms (0%)","9"
"org.mariadb.jdbc.client.result.rowdecoder.BinaryRowDecoder.setPosition ()","23,954 ms (1%)","23,954 ms (1%)","23,954 ms (0%)","23,954 ms (0%)","6"
"org.hibernate.engine.internal.StatefulPersistenceContext.addUninitializedCollection ()","22,776 ms (0.9%)","22,776 ms (0.9%)","279,876 ms (0%)","279,876 ms (0.1%)","92"
"org.hibernate.engine.internal.StatefulPersistenceContext$EntityHolderImpl.forEntity ()","22,088 ms (0.9%)","22,088 ms (0.9%)","22,088 ms (0%)","22,088 ms (0%)","6"
"org.hibernate.sql.results.graph.entity.AbstractEntityInitializer.registerResolutionListener ()","21,804 ms (0.9%)","21,804 ms (0.9%)","22,095 ms (0%)","22,095 ms (0%)","11"
"org.hibernate.engine.spi.CollectionKey.generateHashCode ()","20,616 ms (0.8%)","20,616 ms (0.8%)","37,409 ms (0%)","37,409 ms (0%)","18"
"org.mariadb.jdbc.client.socket.impl.PacketReader.readPacket ()","20,014 ms (0.8%)","20,014 ms (0.8%)","28,499 ms (0%)","27,799 ms (0%)","12"
"org.hibernate.engine.spi.CascadingActions$8.noCascade ()","17,545 ms (0.7%)","17,545 ms (0.7%)","60,662 ms (0%)","60,662 ms (0%)","28"
"org.hibernate.engine.spi.BatchFetchQueue.getBatchLoadableEntityIds ()","17,299 ms (0.7%)","17,299 ms (0.7%)","24,502 ms (0%)","24,502 ms (0%)","5"
"org.hibernate.engine.internal.StatefulPersistenceContext.addCollection ()","17,189 ms (0.7%)","17,189 ms (0.7%)","172,553 ms (0%)","172,553 ms (0%)","55"
"org.hibernate.engine.internal.EntityEntryContext.processEachManagedEntity ()","16,774 ms (0.7%)","16,774 ms (0.7%)","16,774 ms (0%)","16,774 ms (0%)","8"
"org.hibernate.persister.entity.DirtyHelper.isDirty ()","16,585 ms (0.7%)","16,585 ms (0.7%)","37,561 ms (0%)","37,561 ms (0%)","14"
"org.hibernate.type.AbstractStandardBasicType.isSame ()","16,261 ms (0.7%)","16,261 ms (0.7%)","16,261 ms (0%)","16,261 ms (0%)","5"
"org.mariadb.jdbc.client.result.Result.<init> ()","16,196 ms (0.7%)","16,196 ms (0.7%)","17,001 ms (0%)","17,001 ms (0%)","4"
"org.mariadb.jdbc.client.socket.impl.PacketWriter.writeSocket ()","15,784 ms (0.6%)","15,784 ms (0.6%)","1,137,003 ms (0.2%)","1,137,003 ms (0.2%)","426"
"io.lettuce.core.codec.ByteArrayCodec.getBytes ()","15,287 ms (0.6%)","15,287 ms (0.6%)","15,287 ms (0%)","15,287 ms (0%)","3"
"org.hibernate.collection.spi.PersistentSet.getSnapshot ()","14,897 ms (0.6%)","14,897 ms (0.6%)","182,502 ms (0%)","182,502 ms (0%)","71"
"org.hibernate.sql.results.graph.collection.internal.AbstractCollectionInitializer.resolveKey ()","14,778 ms (0.6%)","14,778 ms (0.6%)","64,993 ms (0%)","64,993 ms (0%)","29"
"org.hibernate.engine.internal.StatefulPersistenceContext.getCollection ()","14,371 ms (0.6%)","14,371 ms (0.6%)","14,550 ms (0%)","14,550 ms (0%)","5"
"org.hibernate.internal.util.collections.IdentityMap.put ()","13,901 ms (0.6%)","13,901 ms (0.6%)","107,623 ms (0%)","107,623 ms (0%)","32"
"org.hibernate.engine.spi.LoadQueryInfluencers.hasSubselectLoadableCollections ()","13,740 ms (0.6%)","13,740 ms (0.6%)","13,740 ms (0%)","13,740 ms (0%)","5"
"org.mariadb.jdbc.client.impl.StandardClient.readResponse ()","13,506 ms (0.5%)","13,506 ms (0.5%)","1,857,064 ms (0.3%)","364,513 ms (0.1%)","846"
"org.mariadb.jdbc.client.result.Result.getTimestamp ()","13,255 ms (0.5%)","13,255 ms (0.5%)","183,429 ms (0%)","183,429 ms (0%)","68"
"org.hibernate.sql.results.graph.collection.internal.AbstractCollectionInitializer.resolveInstance ()","13,188 ms (0.5%)","13,188 ms (0.5%)","376,293 ms (0.1%)","376,293 ms (0.1%)","128"
"org.hibernate.persister.entity.AbstractEntityPersister.getPropertyValues ()","12,872 ms (0.5%)","12,872 ms (0.5%)","63,807 ms (0%)","63,807 ms (0%)","22"
"org.hibernate.event.internal.AbstractFlushingEventListener.lambda$postFlush$1 ()","12,802 ms (0.5%)","12,802 ms (0.5%)","53,659 ms (0%)","53,659 ms (0%)","16"
"org.hibernate.sql.results.graph.entity.AbstractEntityInitializer.extractConcreteTypeStateValues ()","12,707 ms (0.5%)","12,707 ms (0.5%)","432,929 ms (0.1%)","432,929 ms (0.1%)","149"
"org.mariadb.jdbc.client.column.TimestampColumn.decodeTimestampBinary ()","11,990 ms (0.5%)","11,990 ms (0.5%)","162,584 ms (0%)","162,584 ms (0%)","61"
"org.hibernate.event.internal.DefaultFlushEntityEventListener.wrapCollections ()","11,383 ms (0.5%)","11,383 ms (0.5%)","42,017 ms (0%)","41,912 ms (0%)","17"
"org.hibernate.sql.results.graph.entity.AbstractEntityInitializer.resolveEntityInstance ()","11,202 ms (0.5%)","11,202 ms (0.5%)","105,663 ms (0%)","105,663 ms (0%)","70"
"org.hibernate.engine.spi.ActionQueue.executeActions ()","10,989 ms (0.4%)","10,989 ms (0.4%)","37,613 ms (0%)","32,794 ms (0%)","19"
"io.jsonwebtoken.impl.JwtMap.setDate ()","10,917 ms (0.4%)","10,917 ms (0.4%)","10,917 ms (0%)","10,917 ms (0%)","2"
"org.apache.catalina.core.ApplicationFilterChain.internalDoFilter ()","10,735 ms (0.4%)","10,735 ms (0.4%)","18,800,991 ms (3.2%)","16,599,692 ms (3.6%)","17,254"
"org.hibernate.sql.results.graph.entity.AbstractEntityInitializer.deepCopy ()","10,566 ms (0.4%)","10,566 ms (0.4%)","10,566 ms (0%)","10,566 ms (0%)","7"
"org.hibernate.engine.internal.EntityEntryContext.addEntityEntry ()","10,216 ms (0.4%)","10,216 ms (0.4%)","30,607 ms (0%)","30,607 ms (0%)","15"
"io.micrometer.core.instrument.observation.DefaultMeterObservationHandler.createTags ()","10,188 ms (0.4%)","10,188 ms (0.4%)","14,875 ms (0%)","14,875 ms (0%)","4"
"org.apache.tomcat.util.buf.Ascii.isDigit ()","10,178 ms (0.4%)","10,178 ms (0.4%)","10,178 ms (0%)","10,178 ms (0%)","2"
"org.hibernate.event.internal.WrapVisitor.processCollection ()","9,927 ms (0.4%)","9,927 ms (0.4%)","9,927 ms (0%)","9,927 ms (0%)","6"
