Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
로그인,4000,5565,76,9575,1593.34,0.08%,14.98823,7.49,5.63,511.8
인기 게시글 목록 조회,4000,1260,4,3260,542.83,0.08%,14.99694,85.6,4.58,5845
인기 게시글 조회,4000,2563,19,7159,751.74,0.08%,15.03273,31.97,4.55,2177.5
인기 게시글 댓글 페이징 조회,4000,1422,9,6700,584.2,0.08%,15.05389,44.96,4.67,3058.2
Debug Sampler,4000,0,0,4,0.32,0.00%,15.07778,8.74,0,593.6
인기게시글 대댓글 전부 조회,4000,2462,3,5199,463.36,0.08%,15.07784,5.39,4.75,366
포스트 좋아요,2000,1164,5,4528,552.97,0.05%,7.54948,2.4,2.47,325.1
루트 댓글 작성,600,1005,5,3735,542.69,0.00%,2.26489,0.97,0.91,437.7
대댓글,360,2026,6,3868,544.95,0.00%,1.36318,0.58,0.57,433.6
포스트 좋아요 취소,1000,1885,7,7698,572.04,0.00%,3.78458,1.08,1.25,291
