
Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
로그인,4000,3061,21,4813,1264.89,0.08%,28.31919,13.91,10.63,502.8
인기 게시글 목록 조회,4000,122,2,927,137.6,0.08%,28.37222,161.95,8.67,5844.9
인기 게시글 조회,4000,627,5,1591,278.48,0.08%,28.47279,61.24,8.61,2202.5
인기 게시글 댓글 페이징 조회,4000,246,4,1082,160.57,0.08%,28.49713,88.03,8.84,3163.1
Debug Sampler,4000,0,0,11,0.35,0.00%,28.55409,16.53,0,592.8
인기게시글 대댓글 전부 조회,4000,515,2,971,144.91,0.08%,28.55328,10.51,9,377.1
포스트 좋아요,2000,260,5,1006,176.27,0.05%,14.29572,4.54,4.67,325.3
루트 댓글 작성,600,255,5,857,187.47,0.00%,4.28939,1.83,1.73,437.7
포스트 좋아요 취소,1000,455,5,1077,202.48,0.10%,7.15825,2.04,2.35,291.2
대댓글,360,520,6,986,198.16,0.00%,2.57893,1.09,1.07,433.6
TOTAL,27960,662,0,4813,827.54,0.06%,197.80546,359.9,55.25,1863.1
